LAT;LONG;PortName;UN-PortCode
-35.8108;137.2131;Kangaroo Island;AUKGI
22.6201;120.3123;Kaohsiung;TWKHH
57.8489;18.7881;Kappelshamn;SEKPH
56.16;15.58;Karlskrona;SEKAA
37.635;21.329;Katakolon;GRKAK
40.9333;24.4;Kavala (Neapolis);GRKVA
25.1291;121.7401;Keelung (Chilung);TWKEL
4.2399;103.1917;Kemaman;MYKEM
24.5544;-81.8004;Key West;USEYW
26.2;50.6167;Khalifa Bin Salman Port;BHKBS
26.1833;56.249;Khasab;OMKHS
25.3333;56.35;Khor al Fakkan;AEKLF
54.3333;10.1333;Kiel;DEKEL
54.6361;-8.4378;Killybegs;IEKBS
32.31;-64.83;King's Wharf, Ireland Island;BMKI3
13.1333;-61.2167;Kingstown;VCKTN
1.9831;-157.4747;Kiritimati (Christmas Island);KICXI
58.9891;-2.9702;Kirkwall;GBKWL
33.9343;130.7629;Kitakyushu;JPKKJ
55.7186;21.1296;Klaipeda;LTKLJ
62.2239;-6.5786;Klaksvik;FOKVI
34.6833;135.1667;Kobe;JPUKB
33.5552;133.5383;Kochi;JPKCZ
9.5;100.0;Koh Samui;THUSM
34.0006;134.3504;Komatsushima (Tokushima);JPTKS
-8.5681;119.4792;Komodo Island;IDKMD
30.0;-90.4833;Kona, Hawaii, HI;USKON
45.5298;13.734;Koper;SIKOP
42.95;17.1167;Korcula;HRKOR
7.21;134.28;Koror;PWKRR
46.6354;142.7829;Korsakov;RUKOR
36.8667;27.25;Kos;GRKGS
5.9814;116.0743;Kota Kinabalu, Sabah;MYBKI
60.5409;26.9689;Kotka;FIKTK
42.4167;18.7667;Kotor;MEKOT
12.15;-68.2667;Kralendijk;BQKRA
58.1503;7.9977;Kristiansand;NOKRS
63.12;7.7189;Kristiansund;NOKSU
3.8138;103.3313;Kuantan (Tanjong Gelang);MYKUA
37.85;27.25;Kusadasi;TRKUS
42.9755;144.3935;Kushiro;JPKUH
29.3861;47.9772;Kuwait City, Kuwait;KWKUW
36.2583;22.9783;Kythira;GRKY1
43.3667;-8.3833;La Coruna;ESLCG
36.8181;10.305;La Goulette (Tunis);TNLGN
46.16;-1.21;La Rochelle;FRLRH
18.429;-68.9896;La Romana;DOLRM
38.7317;1.4169;La Savina, Formentera;ESLSA
43.0764;5.9164;La Seyne-sur-Mer;FRYNE
44.1167;9.8333;La Spezia;ITSPE
19.5167;-72.4833;Labadee;HTLAB
-6.7456;146.9836;Lae;PGLAE
13.066;100.0893;Laem Chabang;THLCH
6.2981;99.7906;Langkawi;MYLGK
34.9201;33.6165;Larnaca;CYLCA
28.1;-15.4167;Las Palmas, Gran Canaria;ESLPA
28.0663;-15.395;Las Palmas, Gran Canaria, Anchorage;ATLP1
-17.6094;177.4403;Lautoka;FJLTK
49.5;0.1264;Le Havre;FRLEH
-20.9317;55.3222;Le Port, Reunion Island;RELPT
45.55;-1.0667;Le Verdon-sur-Mer;FRLVE
55.9775;-3.1641;Leith;GBLEI
41.1833;-8.6833;Leixoes;PTLEI
68.15;13.6;Leknes;NOLKN
-19.532;169.2686;Lénakel, Tanna Island;VUTAH
60.153;-1.1555;Lerwick;GBLER
-17.6875;178.8414;Levuka, Ovalau;FJLVA
0.39;9.45;Libreville;GALBV
-20.7814;167.1383;Lifou;NCLIF
34.6833;33.05;Limassol;CYLMS
38.45;14.95;Lipari;ITLIP
38.71358;-9.12114;Lisbon;PTLIS
53.4121;-2.9476;Liverpool;GBLIV
43.55;10.3167;Livorno (Florence);ITLIV
-8.75;116.06;Lombok (Lembar);IDLOM
6.29;1.4;Lomé;TGLFW
53.0667;-0.7833;Londonderry (Greencastle), Northern Irel;GBLDR
78.2167;15.6333;Longyearbyen;SJLYR
26.0167;-111.3466;Loreto, Baja California Sur;MXLTO
44.75;4.8167;Lorient;FRLRT
34.0504;-118.2506;Los Angeles (San Pedro);USSPQ
53.8663;10.6809;Lübeck;DELBC
-26.65;15.1667;Luderitz;NALUD
-15.5256;167.19;Luganville;VULUG
65.3583;22.1522;Lulea;SELLA
-43.6;172.7167;Lyttelton (Christchurch);NZLYT
0.034;-51.0666;Macapá (Clearance stop);BRMCP
-9.6667;-35.7167;Maceio;BRMCZ
-5.2354;145.7821;Madang;PGMAG
39.8833;4.25;Mahon (Menorca);ESMAH
35.4746;135.3912;Maizuru;JPMAI
7.1;171.3833;Majuro;MHMAJ
-5.1261;119.4069;Makassar;IDMAK
2.3121;102.3064;Malacca;MYMKZ
36.7167;-4.4167;Malaga;ESAGP
4.1667;73.5;Male;MVMLE
55.6;13.0;Malmo;SEMMA
-12.7806;45.2278;Mamoudzou;YTMAM
-3.1233;-60.0205;Manaus;BRMAO
12.9248;74.8587;Mangalore;INIXE
14.5874;120.9837;Manila;PHMNL
-0.93;-80.72;Manta;ECMEC
19.05;-104.3;Manzanillo;MXZLO
-25.8679;32.6103;Maputo;MZMPM
-38.05;-57.5333;Mar del Plata;ARMDQ
45.45;12.2167;Marghera (Venice);ITPMA
60.1;19.95;Mariehamn;FIMHQ
36.8477;28.2495;Marmaris;TRMRM
